neighbourhood,room_type,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Mission,Entire home/apt,37.74946,-122.40917,295,3,61,0.7,1,7
Haight Ashbury,Entire home/apt,37.77166,-122.43826,220,30,103,1.19,4,278
Haight Ashbury,Entire home/apt,37.77244,-122.43789,350,30,115,1.33,4,75
Marina,Entire home/apt,37.80594,-122.43783,269,2,74,0.88,2,55
Twin Peaks,Entire home/apt,37.75081,-122.44524,200,365,8,0.09,1,365
Financial District,Entire home/apt,37.78952,-122.39595,350,31,1,0.01,5,365
Noe Valley,Entire home/apt,37.74395,-122.43253,260,3,17,0.24,1,142
Haight Ashbury,Entire home/apt,37.77144,-122.44433,90,30,67,0.77,2,259
Potrero Hill,Private room,37.75933,-122.40367,135,3,301,3.48,4,89
Castro/Upper Market,Entire home/apt,37.76794,-122.43906,550,5,7,0.08,1,35
Russian Hill,Entire home/apt,37.80299,-122.42447,175,31,79,0.91,1,343
Mission,Entire home/apt,37.75981,-122.42447,425,3,44,0.51,1,8
Bayview,Private room,37.73821,-122.39146,70,30,10,0.36,1,355
Excelsior,Private room,37.72509,-122.43309,95,2,31,0.36,1,304
Excelsior,Private room,37.71725,-122.43562,100,2,16,1.08,1,314
Bernal Heights,Entire home/apt,37.73496,-122.41656,449,4,18,0.29,1,5
Excelsior,Private room,37.72988,-122.42673,43,30,15,0.18,14,67
Potrero Hill,Entire home/apt,37.76132,-122.40421,650,4,27,0.32,4,86
Nob Hill,Private room,37.79709,-122.41033,140,30,87,1.21,4,347
Outer Richmond,Entire home/apt,37.77619,-122.48231,79,1,730,8.44,2,33
Marina,Entire home/apt,37.79817,-122.44169,1195,4,28,0.33,2,365
Noe Valley,Entire home/apt,37.74416,-122.43598,129,28,98,1.15,2,151
Mission,Entire home/apt,37.7605,-122.42317,220,5,11,0.14,1,217
Inner Richmond,Entire home/apt,37.77822,-122.45813,450,3,20,0.24,1,13
Bernal Heights,Private room,37.74521,-122.41938,90,4,190,2.22,1,135
Mission,Private room,37.76149,-122.40874,103,7,163,1.88,2,83
North Beach,Entire home/apt,37.80043,-122.40543,200,4,16,0.19,1,53
Noe Valley,Private room,37.74472,-122.43699,95,2,598,6.96,2,107
Outer Mission,Private room,37.73279,-122.43701,68,2,350,4.16,1,9
